Início do ciclo de 100000 subranges:	2024-11-05 18:50:22.431016
2024-11-05 18:50:22.431063	4833c441b92c825fd	4833ee33243e4931b
2024-11-05 19:00:22.588896	52c0c08522c2ceb00	52c0ea768dd49581e
Início do ciclo de 100000 subranges:	2024-11-05 19:11:36.969368
2024-11-05 19:11:36.969438	63eaf0bc76c849d46	63eb1aade1da10a64
2024-11-05 19:21:37.123206	7db74d218caf372ad	7db77712f7c0fdfcb
2024-11-05 19:31:37.272101	5e82cd3a857fcd8c5	5e82f72bf091945e3
Início do ciclo de 100000 subranges:	2024-11-05 19:42:15.629901
2024-11-05 19:42:15.630254	5ffc9568b1e41ca25	5ffcbf5a1cf5e3743
2024-11-05 19:52:15.759386	77688a1a460fb5d80	7768b40bb1217ca9e
2024-11-05 20:02:15.887376	49e11a01433baf622	49e143f2ae4d76340
2024-11-05 20:12:16.015417	7d9e2f5b878ca62a7	7d9e594cf29e6cfc5
2024-11-05 20:22:16.146082	7672c59d27103281e	7672ef8e9221f953c
2024-11-05 20:32:16.267226	49e2396cf2d9f1a03	49e2635e5debb8721
2024-11-05 20:42:16.400800	5c6076b9c11cb4ba5	5c60a0ab2c2e7b8c3
2024-11-05 20:52:16.528773	47da52f47676c775c	47da7ce5e1888e47a
2024-11-05 21:02:16.650218	5971a3c33e470c06d	5971cdb4a958d2d8b
Finalizado em:	2024-11-05 21:02:22.791404
